sentence,ID,clean sentence,start_index,end_index,phrase,syllables,length,pos,dep num,lemma,synonyms,hypernyms,hyponyms,ogden,simple_wiki,cald,cnc,img,aoa,phon,sub_imdb,google frequency,KFCAT,FAM,KFSMP,KFFRQ,NPHN,TLFRQ
"On September 17 , 1941 , the Germans occupied the town of Pushkin , destroying and plundering many historical monuments , buildings and other cultural artifacts , including the famous Amber Room .",34D9ZRXCYRVYV0Y20MTM8EXYR5MASA,"On September 17 , 1941 , the Germans occupied the town of Pushkin , destroying and plundering many historical monuments , buildings and other cultural artifacts , including the famous Amber Room .",50,54,town,1,4,NN,2,town,4,1,7,1,1,2,556,553,0,0,1,176.673786,212,589,103,14,0,1607
"On September 17 , 1941 , the Germans occupied the town of Pushkin , destroying and plundering many historical monuments , buildings and other cultural artifacts , including the famous Amber Room .",34D9ZRXCYRVYV0Y20MTM8EXYR5MASA,"On September 17 , 1941 , the Germans occupied the town of Pushkin , destroying and plundering many historical monuments , buildings and other cultural artifacts , including the famous Amber Room .",110,119,monuments,3,9,NNS,7,monument,3,1,8,0,0,0,558,543,444,0,0,10.088259,21,455,15,8,0,28
"On September 17 , 1941 , the Germans occupied the town of Pushkin , destroying and plundering many historical monuments , buildings and other cultural artifacts , including the famous Amber Room .",34D9ZRXCYRVYV0Y20MTM8EXYR5MASA,"On September 17 , 1941 , the Germans occupied the town of Pushkin , destroying and plundering many historical monuments , buildings and other cultural artifacts , including the famous Amber Room .",37,45,occupied,3,8,VBD,9,occupy,8,1,2,0,0,0,0,0,0,6,0,18.479097,16,0,16,9,6,262
"On September 17 , 1941 , the Germans occupied the town of Pushkin , destroying and plundering many historical monuments , buildings and other cultural artifacts , including the famous Amber Room .",34D9ZRXCYRVYV0Y20MTM8EXYR5MASA,"On September 17 , 1941 , the Germans occupied the town of Pushkin , destroying and plundering many historical monuments , buildings and other cultural artifacts , including the famous Amber Room .",3,12,september,3,9,NNP,4,september,1,1,0,0,1,0,0,0,0,8,0,131.204989,56,0,38,12,8,0
"On September 17 , 1941 , the Germans occupied the town of Pushkin , destroying and plundering many historical monuments , buildings and other cultural artifacts , including the famous Amber Room .",34D9ZRXCYRVYV0Y20MTM8EXYR5MASA,"On September 17 , 1941 , the Germans occupied the town of Pushkin , destroying and plundering many historical monuments , buildings and other cultural artifacts , including the famous Amber Room .",29,36,germans,2,7,NNPS,1,german,3,1,6,0,1,0,0,0,0,0,1,34.809341,85,0,40,11,0,0
"On September 17 , 1941 , the Germans occupied the town of Pushkin , destroying and plundering many historical monuments , buildings and other cultural artifacts , including the famous Amber Room .",34D9ZRXCYRVYV0Y20MTM8EXYR5MASA,"On September 17 , 1941 , the Germans occupied the town of Pushkin , destroying and plundering many historical monuments , buildings and other cultural artifacts , including the famous Amber Room .",68,78,destroying,3,10,VBG,0,destroy,4,1,14,1,0,0,367,444,0,6,1,11.292241,48,551,30,10,6,270
"On September 17 , 1941 , the Germans occupied the town of Pushkin , destroying and plundering many historical monuments , buildings and other cultural artifacts , including the famous Amber Room .",34D9ZRXCYRVYV0Y20MTM8EXYR5MASA,"On September 17 , 1941 , the Germans occupied the town of Pushkin , destroying and plundering many historical monuments , buildings and other cultural artifacts , including the famous Amber Room .",83,93,plundering,3,10,VBG,1,plunder,5,1,0,0,0,0,0,0,0,6,0,3.368816,2,0,2,2,6,19
"On September 17 , 1941 , the Germans occupied the town of Pushkin , destroying and plundering many historical monuments , buildings and other cultural artifacts , including the famous Amber Room .",34D9ZRXCYRVYV0Y20MTM8EXYR5MASA,"On September 17 , 1941 , the Germans occupied the town of Pushkin , destroying and plundering many historical monuments , buildings and other cultural artifacts , including the famous Amber Room .",99,109,historical,4,10,JJ,0,historical,4,0,0,0,1,3,0,0,0,10,0,162.652033,71,0,48,10,10,52
"On September 17 , 1941 , the Germans occupied the town of Pushkin , destroying and plundering many historical monuments , buildings and other cultural artifacts , including the famous Amber Room .",34D9ZRXCYRVYV0Y20MTM8EXYR5MASA,"On September 17 , 1941 , the Germans occupied the town of Pushkin , destroying and plundering many historical monuments , buildings and other cultural artifacts , including the famous Amber Room .",122,131,buildings,2,9,NNS,0,building,14,1,52,0,1,0,589,578,300,0,1,65.119439,160,607,105,15,0,1014
"On September 17 , 1941 , the Germans occupied the town of Pushkin , destroying and plundering many historical monuments , buildings and other cultural artifacts , including the famous Amber Room .",34D9ZRXCYRVYV0Y20MTM8EXYR5MASA,"On September 17 , 1941 , the Germans occupied the town of Pushkin , destroying and plundering many historical monuments , buildings and other cultural artifacts , including the famous Amber Room .",151,160,artifacts,3,9,NNS,3,artifact,1,1,45,0,0,0,0,0,0,7,0,10.849435,0,0,0,0,7,0
"On September 17 , 1941 , the Germans occupied the town of Pushkin , destroying and plundering many historical monuments , buildings and other cultural artifacts , including the famous Amber Room .",34D9ZRXCYRVYV0Y20MTM8EXYR5MASA,"On September 17 , 1941 , the Germans occupied the town of Pushkin , destroying and plundering many historical monuments , buildings and other cultural artifacts , including the famous Amber Room .",177,183,famous,2,6,JJ,0,famous,1,0,0,0,0,1,0,376,0,0,1,67.734988,89,556,62,14,0,452
"On September 17 , 1941 , the Germans occupied the town of Pushkin , destroying and plundering many historical monuments , buildings and other cultural artifacts , including the famous Amber Room .",34D9ZRXCYRVYV0Y20MTM8EXYR5MASA,"On September 17 , 1941 , the Germans occupied the town of Pushkin , destroying and plundering many historical monuments , buildings and other cultural artifacts , including the famous Amber Room .",184,189,amber,2,5,NNP,0,amber,3,1,0,0,1,0,0,0,0,0,0,5.163954,3,0,2,2,0,33
"On September 17 , 1941 , the Germans occupied the town of Pushkin , destroying and plundering many historical monuments , buildings and other cultural artifacts , including the famous Amber Room .",34D9ZRXCYRVYV0Y20MTM8EXYR5MASA,"On September 17 , 1941 , the Germans occupied the town of Pushkin , destroying and plundering many historical monuments , buildings and other cultural artifacts , including the famous Amber Room .",190,194,room,1,4,NNP,4,room,5,1,78,1,1,2,566,545,244,0,1,310.783341,383,627,159,15,0,3789
"2 ( Two ; i \/ ˈtuː \/ ) is a number , numeral , and glyph .",34D9ZRXCYRVYV0Y20MTM8EXYR5MASA,"2 ( Two ; i \/ ˈtuː \/ ) is a number , numeral , and glyph .",30,36,number,2,6,NN,8,number,17,1,7,1,1,3,395,489,239,5,1,674.306587,472,599,204,15,5,954
"2 ( Two ; i \/ ˈtuː \/ ) is a number , numeral , and glyph .",34D9ZRXCYRVYV0Y20MTM8EXYR5MASA,"2 ( Two ; i \/ ˈtuː \/ ) is a number , numeral , and glyph .",39,46,numeral,3,7,NN,0,numeral,2,1,3,0,0,0,0,0,0,8,0,1.703428,1,0,1,1,8,12
"2 ( Two ; i \/ ˈtuː \/ ) is a number , numeral , and glyph .",34D9ZRXCYRVYV0Y20MTM8EXYR5MASA,"2 ( Two ; i \/ ˈtuː \/ ) is a number , numeral , and glyph .",15,19,ˈtuː,0,4,NN,4,ˈtuː,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
"2 ( Two ; i \/ ˈtuː \/ ) is a number , numeral , and glyph .",34D9ZRXCYRVYV0Y20MTM8EXYR5MASA,"2 ( Two ; i \/ ˈtuː \/ ) is a number , numeral , and glyph .",53,58,glyph,1,5,NN,1,glyph,1,1,0,0,0,0,0,0,0,4,0,0.738318,0,0,0,0,4,0
Two also has the unique property such that and also for a not equal to zero The number of domino tilings of a 2 × 2 checkerboard is 2 .,34D9ZRXCYRVYV0Y20MTM8EXYR5MASA,Two also has the unique property such that and also for a not equal to zero The number of domino tilings of a 2 × 2 checkerboard is 2 .,80,86,number,2,6,NN,2,number,17,1,7,1,1,3,395,489,239,5,1,674.306587,472,599,204,15,5,954
Two also has the unique property such that and also for a not equal to zero The number of domino tilings of a 2 × 2 checkerboard is 2 .,34D9ZRXCYRVYV0Y20MTM8EXYR5MASA,Two also has the unique property such that and also for a not equal to zero The number of domino tilings of a 2 × 2 checkerboard is 2 .,17,23,unique,2,6,JJ,0,unique,4,0,0,0,0,4,300,379,0,0,1,74.980666,58,534,46,13,0,101
Two also has the unique property such that and also for a not equal to zero The number of domino tilings of a 2 × 2 checkerboard is 2 .,34D9ZRXCYRVYV0Y20MTM8EXYR5MASA,Two also has the unique property such that and also for a not equal to zero The number of domino tilings of a 2 × 2 checkerboard is 2 .,24,32,property,3,8,NN,3,property,5,1,22,1,0,4,460,466,447,0,1,170.928845,156,531,61,13,0,244
Two also has the unique property such that and also for a not equal to zero The number of domino tilings of a 2 × 2 checkerboard is 2 .,34D9ZRXCYRVYV0Y20MTM8EXYR5MASA,Two also has the unique property such that and also for a not equal to zero The number of domino tilings of a 2 × 2 checkerboard is 2 .,90,96,domino,3,6,NN,0,domino,4,0,0,0,0,0,0,0,0,6,0,1.804322,0,0,0,0,6,0
Two also has the unique property such that and also for a not equal to zero The number of domino tilings of a 2 × 2 checkerboard is 2 .,34D9ZRXCYRVYV0Y20MTM8EXYR5MASA,Two also has the unique property such that and also for a not equal to zero The number of domino tilings of a 2 × 2 checkerboard is 2 .,62,67,equal,2,5,JJ,7,equal,6,1,6,1,1,4,0,321,0,5,1,137.985423,90,591,69,14,5,300
Two also has the unique property such that and also for a not equal to zero The number of domino tilings of a 2 × 2 checkerboard is 2 .,34D9ZRXCYRVYV0Y20MTM8EXYR5MASA,Two also has the unique property such that and also for a not equal to zero The number of domino tilings of a 2 × 2 checkerboard is 2 .,97,104,tilings,2,7,NNS,3,tiling,2,1,0,0,0,0,0,0,0,0,0,0.474987,0,0,0,0,0,0
Two also has the unique property such that and also for a not equal to zero The number of domino tilings of a 2 × 2 checkerboard is 2 .,34D9ZRXCYRVYV0Y20MTM8EXYR5MASA,Two also has the unique property such that and also for a not equal to zero The number of domino tilings of a 2 × 2 checkerboard is 2 .,116,128,checkerboard,3,12,NN,3,checkerboard,1,1,1,0,0,0,0,0,0,0,0,0.688632,0,0,0,0,0,0
"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",70,74,book,1,4,NN,0,book,15,1,22,1,1,2,609,591,214,3,1,399.424767,193,643,100,15,3,684
"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",150,157,theater,3,7,NN,1,theater,3,1,7,0,1,2,0,0,0,0,1,29.93919,0,0,0,0,0,0
"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",228,231,art,1,3,NN,4,art,4,1,15,1,1,2,440,493,0,2,1,242.728779,208,529,79,14,2,537
"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",259,262,art,1,3,NN,4,art,4,1,15,1,1,2,440,493,0,2,1,242.728779,208,529,79,14,2,537
"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",182,191,initially,4,9,RB,0,initially,1,0,0,0,0,4,0,0,0,0,0,47.575267,18,0,15,6,0,0
"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",0,5,mucha,2,5,NNP,0,mucha,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",196,201,mucha,2,5,NNP,0,mucha,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",17,23,flurry,2,6,NN,2,flurry,4,1,0,0,0,0,0,0,0,5,0,2.101279,4,0,4,4,5,24
"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",6,14,produced,2,8,VBD,3,produce,8,1,3,1,0,0,432,396,431,0,1,156.115553,82,534,63,13,0,601
"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",27,36,paintings,2,9,NNS,9,painting,8,1,20,0,1,0,615,602,258,0,1,22.011212,59,527,28,12,0,220
"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",39,46,posters,2,7,NNS,0,poster,3,1,2,0,0,0,592,600,0,0,0,5.505307,4,545,3,3,0,25
"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",49,63,advertisements,4,14,NNS,0,advertisement,1,1,9,0,0,0,0,0,0,11,0,8.040123,2,0,2,2,11,70
"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",75,88,illustrations,4,13,NNS,2,illustration,4,1,2,0,0,0,0,0,0,10,0,22.523205,24,0,16,10,10,106
"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",102,109,designs,2,7,NNS,2,design,14,1,1,0,1,0,444,407,403,5,1,34.61355,114,538,46,11,5,509
"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",114,121,jewelry,3,7,NN,7,jewelry,1,1,12,0,0,2,0,0,0,0,1,6.994662,0,0,0,0,0,0
"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",124,131,carpets,2,7,NNS,0,carpet,5,2,14,0,0,0,581,538,0,5,1,3.178945,13,508,9,6,5,165
"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",134,143,wallpaper,3,9,NN,0,wallpaper,2,1,0,0,0,0,0,0,0,0,0,2.076953,7,0,4,2,0,0
"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",175,181,termed,1,6,VBN,5,term,8,1,1,1,0,0,374,387,394,0,1,22.067556,79,575,56,11,0,442
"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",158,162,sets,1,4,NNS,1,set,45,1,25,1,1,0,0,0,0,0,1,71.950895,414,0,234,15,0,1636
"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",202,207,style,1,5,NN,3,style,12,1,9,0,1,3,344,416,419,4,1,127.465755,98,555,54,13,4,301
"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",232,239,nouveau,2,7,NNP,3,nouveau,0,0,0,0,0,0,0,0,0,0,0,2.508408,0,0,0,0,0,0
"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",242,248,french,1,6,NNP,3,french,5,1,7,0,1,0,0,0,0,0,1,209.61961,139,0,71,12,0,0
"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",51,56,women,2,5,NNS,2,woman,4,2,58,1,1,0,580,626,258,0,1,527.006302,224,623,107,15,0,2431
"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",45,50,young,1,5,JJ,0,young,14,1,6,1,1,1,0,521,0,0,1,369.337677,385,609,190,15,0,3972
"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",0,5,mucha,2,5,NNP,1,mucha,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",15,25,frequently,3,10,RB,0,frequently,1,0,0,0,0,3,0,0,0,0,0,136.491297,91,0,66,13,0,272
"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",9,14,works,1,5,NNS,1,work,34,1,27,1,1,0,402,458,0,0,1,202.176999,760,603,311,15,0,2720
"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",26,34,featured,2,8,VBN,5,feature,8,1,11,0,1,0,0,0,0,5,0,0.0,37,0,31,12,5,422
"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",60,67,flowing,2,7,VBG,5,flow,14,1,15,1,0,0,311,417,0,3,1,0.0,67,518,43,11,3,220
"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",35,44,beautiful,3,9,JJ,0,beautiful,2,0,0,0,0,1,393,532,0,0,1,97.135038,127,609,80,15,0,987
"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",70,77,vaguely,2,7,RB,0,vaguely,1,0,0,0,0,6,0,0,0,0,0,7.384053,0,0,0,0,0,0
"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",78,98,neoclassical-looking,0,20,None,0,neoclassical-looking,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",113,123,surrounded,3,10,VBN,2,surround,5,1,7,0,0,0,0,0,0,6,0,7.235321,5,0,5,5,6,288
"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",99,104,robes,1,5,NNS,2,robe,4,1,4,0,0,0,0,0,0,3,1,5.635748,6,0,6,5,3,77
"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",3W31J70BASXO0WISFRGBNNWCAEUKC5,"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",127,131,lush,1,4,JJ,0,lush,4,1,0,0,0,0,0,0,0,0,0,3.316737,5,0,5,5,0,14
